Combination,Combination ID,Run,Generation,Fitness
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,34,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,35,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,36,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,37,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,38,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,39,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,40,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,41,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,42,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,43,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,44,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,45,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,46,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,47,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,48,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,49,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,50,1.4196700000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,1,1.2059
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,2,1.25081
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,3,1.25081
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,4,1.25081
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,5,1.2925300000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,6,1.35276
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,7,1.35276
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,8,1.35276
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,9,1.35276
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,10,1.36396
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,11,1.37619
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,12,1.37619
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,13,1.37619
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,14,1.37619
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,15,1.37619
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,16,1.37619
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,17,1.37619
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,18,1.37619
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,19,1.37619
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,20,1.37619
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,21,1.3977600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,22,1.3977600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,23,1.3977600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,24,1.40247
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,25,1.4119000000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,26,1.4119000000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,27,1.4211900000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,28,1.4211900000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,29,1.4211900000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,30,1.42333
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,31,1.42333
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,32,1.42333
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,33,1.42333
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,34,1.42333
